,agent,avg_reward,std_reward,step,test_id
472,iql,38.0,0.0,11368,-1
473,iql,41.0,0.0,11409,-1
474,iql,45.0,0.0,11454,-1
475,iql,33.0,0.0,11487,-1
476,iql,26.0,0.0,11513,-1
477,iql,20.0,0.0,11533,-1
478,iql,52.0,0.0,11585,-1
479,iql,43.0,0.0,11628,-1
480,iql,16.0,0.0,11644,-1
481,iql,12.0,0.0,11656,-1
482,iql,32.0,0.0,11688,-1
483,iql,38.0,0.0,11726,-1
484,iql,33.0,0.0,11759,-1
485,iql,23.0,0.0,11782,-1
486,iql,16.0,0.0,11798,-1
487,iql,35.0,0.0,11833,-1
488,iql,24.0,0.0,11857,-1
489,iql,18.0,0.0,11875,-1
490,iql,19.0,0.0,11894,-1
491,iql,16.0,0.0,11910,-1
492,iql,40.0,0.0,11950,-1
493,iql,35.0,29.0,12020,-1
494,iql,31.0,0.0,12051,-1
495,iql,27.0,0.0,12078,-1
496,iql,33.0,0.0,12111,-1
497,iql,22.0,0.0,12133,-1
498,iql,30.0,0.0,12163,-1
499,iql,33.5,30.5,12230,-1
500,iql,35.0,0.0,12265,-1
501,iql,41.0,0.0,12306,-1
502,iql,19.0,0.0,12325,-1
503,iql,25.0,0.0,12350,-1
504,iql,39.0,0.0,12389,-1
505,iql,11.0,0.0,12400,-1
506,iql,38.0,0.0,12438,-1
507,iql,58.0,0.0,12496,-1
508,iql,15.0,0.0,12511,-1
509,iql,14.0,0.0,12525,-1
510,iql,25.0,0.0,12550,-1
511,iql,15.0,0.0,12565,-1
512,iql,28.0,0.0,12593,-1
513,iql,10.0,0.0,12603,-1
514,iql,17.0,0.0,12620,-1
515,iql,10.0,0.0,12630,-1
516,iql,26.0,0.0,12656,-1
517,iql,57.0,0.0,12713,-1
518,iql,33.0,0.0,12746,-1
519,iql,59.0,0.0,12805,-1
520,iql,15.0,0.0,12820,-1
521,iql,29.0,0.0,12849,-1
522,iql,43.5,20.5,12936,-1
523,iql,32.0,0.0,12968,-1
524,iql,13.0,0.0,12981,-1
525,iql,27.0,0.0,13008,-1
526,iql,33.0,0.0,13041,-1
527,iql,15.0,0.0,13056,-1
528,iql,12.0,0.0,13068,-1
529,iql,12.0,0.0,13080,-1
530,iql,18.0,0.0,13098,-1
531,iql,13.0,0.0,13111,-1
532,iql,18.0,0.0,13129,-1
533,iql,42.5,21.5,13214,-1
534,iql,23.0,0.0,13237,-1
535,iql,30.0,0.0,13267,-1
536,iql,13.0,0.0,13280,-1
537,iql,15.0,0.0,13295,-1
538,iql,26.0,0.0,13321,-1
539,iql,15.0,0.0,13336,-1
540,iql,23.0,0.0,13359,-1
541,iql,21.0,0.0,13380,-1
542,iql,24.0,0.0,13404,-1
543,iql,14.0,0.0,13418,-1
544,iql,15.0,0.0,13433,-1
545,iql,33.0,31.0,13499,-1
546,iql,29.0,0.0,13528,-1
547,iql,15.0,0.0,13543,-1
548,iql,27.0,0.0,13570,-1
549,iql,33.0,0.0,13603,-1
550,iql,29.0,0.0,13632,-1
551,iql,43.0,0.0,13675,-1
552,iql,14.0,0.0,13689,-1
553,iql,47.0,0.0,13736,-1
554,iql,11.0,0.0,13747,-1
555,iql,20.0,0.0,13767,-1
556,iql,26.0,0.0,13793,-1
557,iql,36.0,0.0,13829,-1
558,iql,47.0,0.0,13876,-1
559,iql,10.0,0.0,13886,-1
560,iql,25.0,0.0,13911,-1
561,iql,49.0,0.0,13960,-1
562,iql,17.0,0.0,13977,-1
563,iql,35.0,0.0,14012,-1
564,iql,21.0,0.0,14033,-1
565,iql,25.0,0.0,14058,-1
566,iql,19.0,0.0,14077,-1
567,iql,12.0,0.0,14089,-1
568,iql,22.0,0.0,14111,-1
569,iql,35.0,0.0,14146,-1
570,iql,20.0,0.0,14166,-1
571,iql,30.0,0.0,14196,-1
572,iql,13.0,0.0,14209,-1
573,iql,46.0,0.0,14255,-1
574,iql,22.0,0.0,14277,-1
575,iql,15.0,0.0,14292,-1
576,iql,47.0,0.0,14339,-1
577,iql,31.0,0.0,14370,-1
578,iql,60.0,0.0,14430,-1
579,iql,23.0,0.0,14453,-1
580,iql,21.0,0.0,14474,-1
581,iql,55.0,0.0,14529,-1
582,iql,43.0,0.0,14572,-1
583,iql,16.0,0.0,14588,-1
584,iql,25.0,0.0,14613,-1
585,iql,35.0,29.0,14683,-1
586,iql,47.0,0.0,14730,-1
587,iql,10.0,0.0,14740,-1
588,iql,20.0,0.0,14760,-1
589,iql,35.0,0.0,14795,-1
590,iql,22.0,0.0,14817,-1
591,iql,24.0,0.0,14841,-1
592,iql,26.0,0.0,14867,-1
593,iql,12.0,0.0,14879,-1
594,iql,43.0,0.0,14922,-1
595,iql,19.0,0.0,14941,-1
596,iql,15.0,0.0,14956,-1
597,iql,33.0,0.0,14989,-1
598,iql,20.0,0.0,15009,-1
599,iql,40.0,0.0,15049,-1
600,iql,23.0,0.0,15072,-1
601,iql,18.0,0.0,15090,-1
602,iql,14.0,0.0,15104,-1
603,iql,35.0,0.0,15139,-1
604,iql,12.0,0.0,15151,-1
605,iql,10.0,0.0,15161,-1
606,iql,15.0,0.0,15176,-1
607,iql,33.0,0.0,15209,-1
608,iql,18.0,0.0,15227,-1
609,iql,14.0,0.0,15241,-1
610,iql,34.0,0.0,15275,-1
611,iql,25.0,0.0,15300,-1
